"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-01","5.82",",,W"," 0005",",,W","0.03",",,W",,,"44",",,W","32",",,W","  250",",,W","  260",",,W","17.0",",,W","23.9",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-02","7.16",",,W"," 0702",",,W","0.09",",,W",,,"46",",,W","36",",,W","  130",",,W","  130",",,W","12.1",",,W","16.1",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-03","6.93",",,W"," 2357",",,W","0.76",",,W",,,"50",",,W","42",",,W","  280",",,W","  270",",,W","17.0",",,W","25.9",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-04","15.66",",,W"," 1429",",,W","0.04",",,W",,,"45",",,W","21",",,W","  260",",,W","  260",",,W","30.0",",,W","38.9",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-05","8.72",",,W"," 0332",",,W","0.06",",,W",,,"23",",,W","18",",,W","  250",",,W","  260",",,W","18.1",",,W","21.9",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-06","7.16",",,W"," 1215",",,W","0.00","T,,W",,,"18",",,W","7",",,W","  260",",,W","  250",",,W","14.1",",,W","16.1",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-07","7.16",",,W"," 2043",",,W","0.00","T,,W",,,"18",",,W","9",",,W","  220",",,W","  280",",,W","15.0",",,W","23.0",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-08","11.41",",,W"," 1015",",,W","0.00",",,W",,,"16",",,W","7",",,W","  260",",,W","  270",",,W","21.0",",,W","30.0",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-09","7.83",",,W"," 0933",",,W","0.00",",,W",,,"28",",,W","5",",,W","  190",",,W","  150",",,W","16.1",",,W","19.9",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-10","14.09",",,W"," 2357",",,W","0.09",",,W",,,"50",",,W","25",",,W","  210",",,W","  200",",,W","31.1",",,W","44.1",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-11","11.63",",,W"," 0020",",,W","0.23",",,W",,,"55",",,W","39",",,W","  230",",,W","  250",",,W","29.1",",,W","42.1",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-12","15.88",",,W"," 1323",",,W","0.49",",,W",,,"65",",,W","37",",,W","  210",",,W","  210",",,W","33.1",",,W","46.1",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-13","6.49",",,W"," 0755",",,W","0.00",",,W",,,"37",",,W","28",",,W","  330",",,W","  320",",,W","15.0",",,W","19.0",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-14","3.13",",,W"," 0408",",,W","0.02",",,W",,,"36",",,W","27",",,W","  280",",,W","   30",",,W","8.1",",,W","12.1",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-15","2.68",",,W"," 0118",",,W","0.00",",,W",,,"34",",,W","25",",,W","  320",",,W","  310",",,W","8.9",",,W","13.0",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-16","1.57",",,W"," 2152",",,W","0.01",",,W",,,"40",",,W","26",",,W","  140",",,W","  140",",,W","8.1",",,W","8.9",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-17","9.62",",,W"," 1605",",,W","0.09",",,W",,,"61",",,W","38",",,W","  220",",,W","  220",",,W","21.0",",,W","28.0",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-18","10.51",",,W"," 0457",",,W","0.05",",,W",,,"52",",,W","38",",,W","  260",",,W","  250",",,W","19.9",",,W","25.1",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-19","5.37",",,W"," 0019",",,W","0.00",",,W",,,"43",",,W","35",",,W","  250",",,W","  260",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-20","6.93",",,W"," 1340",",,W","0.18",",,W",,,"57",",,W","35",",,W","  220",",,W","  220",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-21","6.93",",,W"," 1313",",,W","0.00",",,W",,,"64",",,W","44",",,W","  180",",,W","  180",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-22","5.14",",,W"," 1952",",,W","0.02",",,W",,,"62",",,W","48",",,W","  100",",,W","   90",",,W","14.1",",,W","18.1",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-23","9.17",",,W"," 0602",",,W","1.00",",,W",,,"50",",,W","34",",,W","   90",",,W","   90",",,W","23.0",",,W","30.0",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-24","8.28",",,W"," 1347",",,W","0.09",",,W",,,"39",",,W","35",",,W","  320",",,W","  320",",,W","18.1",",,W","29.1",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-25","9.17",",,W"," 1838",",,W","0.06",",,W",,,"54",",,W","37",",,W","  160",",,W","  170",",,W","16.1",",,W","21.9",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-26","16.11",",,W"," 1313",",,W","0.31",",,W",,,"51",",,W","32",",,W","  250",",,W","  260",",,W","25.9",",,W","35.1",",,W",,,,,,,,,,
"USW00014762","PITTSBURGH ALLEGHENY CO AIRPORT, PA US","40.35472","-79.92167","380.4","2017-01-27","14.09",",,W"," 1134",",,W","0.00","T,,W",,,"32",",,W","28",",,W","  270",",,W","  260",",,W","23.0",",,W","29.1",",,W",,,,,,,,,,
